Iteration,0-0,0-1
0,1.0,1.0
1,0.36114521967294155,0.6388547803270583
2,0.2717584505237285,0.7282415494762714
3,0.106504833040232,0.8934951669597679
4,0.06435643564356433,0.9356435643564357
5,0.06435643564356433,0.9356435643564357
6,0.06435643564356433,0.9356435643564357
7,0.06435643564356433,0.9356435643564357
8,0.06435643564356433,0.9356435643564357
9,0.06435643564356433,0.9356435643564357
10,0.06435643564356433,0.9356435643564357
11,0.06435643564356433,0.9356435643564357
12,0.06435643564356433,0.9356435643564357
13,0.06435643564356433,0.9356435643564357
14,0.06435643564356433,0.9356435643564357
15,0.06435643564356433,0.9356435643564357
16,0.06435643564356433,0.9356435643564357
17,0.06435643564356433,0.9356435643564357
18,0.06435643564356433,0.9356435643564357
19,0.06435643564356433,0.9356435643564357
20,0.06435643564356433,0.9356435643564357
21,0.06435643564356433,0.9356435643564357
22,0.06435643564356433,0.9356435643564357
23,0.06435643564356433,0.9356435643564357
24,0.06435643564356433,0.9356435643564357
25,0.06435643564356433,0.9356435643564357
26,0.06435643564356433,0.9356435643564357
27,0.06435643564356433,0.9356435643564357
28,0.06435643564356433,0.9356435643564357
29,0.06435643564356433,0.9356435643564357
