Iteration,0-0,0-1,0-2
0,0.2015625,0.0,0.33203125
1,0.44080437952213597,0.0,0.559195620477864
2,0.6987116989525765,0.0,0.3012883010474235
3,0.7471895977914975,0.0,0.2528104022085024
4,0.7471895977914975,0.0,0.2528104022085024
5,0.7471895977914975,0.0,0.2528104022085024
6,0.7471895977914975,0.0,0.2528104022085024
7,0.7471895977914975,0.0,0.2528104022085024
8,0.7471895977914975,0.0,0.2528104022085024
9,0.7471895977914975,0.0,0.2528104022085024
10,0.7471895977914975,0.0,0.2528104022085024
11,0.7471895977914975,0.0,0.2528104022085024
12,0.7471895977914975,0.0,0.2528104022085024
13,0.7471895977914975,0.0,0.2528104022085024
14,0.7471895977914975,0.0,0.2528104022085024
15,0.7471895977914975,0.0,0.2528104022085024
16,0.7471895977914975,0.0,0.2528104022085024
17,0.7471895977914975,0.0,0.2528104022085024
18,0.7471895977914975,0.0,0.2528104022085024
19,0.7471895977914975,0.0,0.2528104022085024
20,0.7471895977914975,0.0,0.2528104022085024
21,0.7471895977914975,0.0,0.2528104022085024
22,0.7471895977914975,0.0,0.2528104022085024
23,0.7471895977914975,0.0,0.2528104022085024
24,0.7471895977914975,0.0,0.2528104022085024
25,0.7471895977914975,0.0,0.2528104022085024
26,0.7471895977914975,0.0,0.2528104022085024
27,0.7471895977914975,0.0,0.2528104022085024
28,0.7471895977914975,0.0,0.2528104022085024
29,0.7471895977914975,0.0,0.2528104022085024
