Iteration,0-0,0-1,0-2
0,0.2015625,0.0,0.33203125
1,0.3825270172891975,0.0,0.6174729827108025
2,0.37204500561089693,0.0,0.6279549943891032
3,0.3587470078001762,0.0,0.6412529921998239
4,0.3584209792590824,0.0,0.6415790207409175
5,0.3584209792590824,0.0,0.6415790207409175
6,0.3584209792590824,0.0,0.6415790207409175
7,0.3584209792590824,0.0,0.6415790207409175
8,0.3584209792590824,0.0,0.6415790207409175
9,0.3584209792590824,0.0,0.6415790207409175
10,0.3584209792590824,0.0,0.6415790207409175
11,0.3584209792590824,0.0,0.6415790207409175
12,0.3584209792590824,0.0,0.6415790207409175
13,0.3584209792590824,0.0,0.6415790207409175
14,0.3584209792590824,0.0,0.6415790207409175
15,0.3584209792590824,0.0,0.6415790207409175
16,0.3584209792590824,0.0,0.6415790207409175
17,0.3584209792590824,0.0,0.6415790207409175
18,0.3584209792590824,0.0,0.6415790207409175
19,0.3584209792590824,0.0,0.6415790207409175
20,0.3584209792590824,0.0,0.6415790207409175
21,0.3584209792590824,0.0,0.6415790207409175
22,0.3584209792590824,0.0,0.6415790207409175
23,0.3584209792590824,0.0,0.6415790207409175
24,0.3584209792590824,0.0,0.6415790207409175
25,0.3584209792590824,0.0,0.6415790207409175
26,0.3584209792590824,0.0,0.6415790207409175
27,0.3584209792590824,0.0,0.6415790207409175
28,0.3584209792590824,0.0,0.6415790207409175
29,0.3584209792590824,0.0,0.6415790207409175
